be , v , "हुनु"
bear , n , "भालु"
beard , n , "दार्ही, दाढी"
bedroom , n , "सुत्ने कोठा"
beg , v , "माग्नु"
begin , v , "शुरु गर्नु, थाल्नु"
beginning , n , "आरम्भ​, शुरु, थालनी"
behavior , n , "चालचलन, व्यवहार​"
belief , n , "विश्वाश​"
bell , n , "घंटी"
bicycle , n , "साइकल"
biology , n , "जिब​-बिज्ञान​, जिव्सास्त्र"
black market , n , "कालो बजार"
bloom , v , "फुल्नु"
boil , v , "उमाल्नु"
bone , n , "हाड"
book , n , "किताब, पुस्तक​"
boredom , n , "दिक्क"
botany , n , "बनस्पति बिज्ञान​"
bread , n , "रोटी"
break , v , "भाच्नु"
breath , n , "सास"
breathe , v , "सास फेर्नु"
bring , v , "ल्याउनु"
bring away , v , "लिएर जानु, लैजानु"
broadcast , v , "प्र्सारण गर्नु"
broken , v , "बिग्रिनु"
broom , n , "कुचो"
budget , n , "बजेट्, आयव्ययको हिसाब​"
building , n , "भवन"
building Department , n , "भवन विभाग​"
bus , n , "बस"
bush , n , "झाडी"
business , n , "व्यपार​, कामकाज​, व्यवसाय​"
buy , v , "किन्नु"
cage , n , "खोर"
call , v , "बोलाउनु, डाक्नु"
can , v , "सक्नु"
capital sum , n , "साँउ, पुँजी"
capitalism , n , "पुँजीबाद​"
capitalist , n , "पुँजीवाल​, प्ँजीपति, धनीबर्ग​"
car , n , "गाडि, मोटर​"
care , n , "परवाह, जतन"
carpenter , n , "सिकर्मी"
carpet , n , "गलौंचा"
case , n , "मुद्दा, झगडा, खोल"
catch , v , "समात्नु"
cattle , n , "गाई वस्तु"
celebrate , v , "मनाउनु"
cement , n , "सिमेन्ट​"
center , n , "केन्द्र्​, बिच"
certificate , n , "प्र्माणपत्र"
chair , n , "मेच​"
chairman , n , "अध्यक्ष, सभापती"
chance , n , "मौका, अवसर"
change , n , "परिवर्तन​"
chat , v , "गफ गर्नु"
cheese , n , "चिज​"
chemistry , n , "रसायन शास्त्र​"
chicken , n , "कुखुरा"
chief , n , "नाईके, प्र्मुख​, सरदार​"
children , n , "केटाकेटी"
choice , n , "छनाई, रोजाई"
choose , v , "छान्नु, रोज्नु"
cigarette , n , "चुरोट​"
cinema , n , "सिनेमा"
circumstances , n , "परिस्थिति, हाल​, गति"
city , n , "शहर"
clash , n , "टक्कर​, बिरोध​"
clerk , n , "बहिदार"
cliff , n , "भिर​"
climb , v , "चढ्नु"
close , v , "बन्दु गर्नु"
cloud , n , "बादल"
coat , n , "कोट"
code , n , "ऐन-सग्र्ह, ऐनको किताब​"
coffee , n , "कफी"
collect , v , "बटुल्नु, संकलन गर्नु, जम्मा गर्नु"
color , n , "रङ्ग​"
combine , v , "मिलाउनु, मिसाउनु"
come , v , "आउनु"
come out , v , "निक्लिनु"
commentary , n , "प्र्वचन​, समीक्षा, टीका-टिप्पणी"
committee , n , "समिति"
communism , n , "साम्यबाद​"
community , n , "समुदाय​, समाज​"
compare , v , "दाँज्नु, तुलना गर्नु"
comparison , n , "तलनाु, दजाई"
competition , n , "प्र्तियोगिता, प्र्तिस्पर्दा, होड ​"
complaint , n , "उजूर​, उजूरी"
comply , v , "मान्नु, सहमत हुनु"
condition , n , "हालत, परिस्थिति, स्थिति, अवस्था"
conduct , n , "आचार, संचालन, चालचलन"
conduct , v , "संचालन गर्नु"
confidence , n , "बिश्वास​, दृढता, पत्यार​, भरोसा"
connection , n , "सम्बन्ध​"
constituency , n , "निर्वाचन क्षेत्र, निर्बाचन मण्डल​"
construction , n , "निर्माण"
consult , v , "सल्लाह लिनु, दिनु"
continent , n , "महादेश​"
contract , n , "ठेक्का"
control , n , "कब्जा, नियन्त्रण"
control , v , "कब्जामा राख्नु"
convenience , n , "अनुकुल​, सुबिधा"
convenient , n , "उचित​, सुबिधाजनक​"
convince , v , "मनाउनु, संदेह हटाउनु, सम्झाउनु"
cook , v , "पकाउनु"
cooked , v , "पाक्नु"
cooperation , n , "सहयोगिता, सहकारिता, समिती"
cooperative , n , "सहकारी, सहयोगी, साझा"
copy , n , "नक्कल​"
copybook , n , "कापी"
corn , n , "मकै"
correct , v , "सुधार्नु, सच्याउनु"
correction , n , "संशोधन​, भुल सुधार​"
cost , v , "खर्च गर्नु, मोल​"
cottage industry , n , "घरेलु, उघोग​"
cottage , n , "झुपडी, झुप्रो"
shack , n , "झुपडी, झुप्रो"
cough , n , "खोकी"
council , n , "परिषद, समिति"
counsel , v , "सल्लाह दिनु, परामर्श दिनु"
count , v , "गन्नु"
country , n , "देश​, मुलुक​"
court , n , "अदालत"
courtyard , n , "आगँन​"
cow-shed , n , "गोठ"
cowshed , n , "गोठ"
crab , n , "गङ्गटो"
creditor , n , "साहु, रिणदाता"
crop , n , "उब्जनी, उब्जाउ, अन्न​"
crops , n , "बाली"
cry , v , "रुनु"
cultivated property , n , "खते-बारी"
cultivation , n , "खेतीे-पाती"
culture , n , "संस्कृती, रितिरिवाज​"
cupboard , n , "दराज"
cured , n , "निको हुनु, बिषेक हुनु"
curiosity , n , "जिज्ञासा"
custom , n , "चलन, रितिरिवाज​"
cut , v , "काट्नु"
dam , n , "बाँध"
damage , n , "खति, नोक्सान​"
dance , v , "नाच्नु"
danger , n , "छुरी"
dark , n , "अँध्यारो, अन्धकार​ / **color** (adj) गाडा"
date , n , "मिति, गते, तारिख​"
daughter-in-law , n , "बुहारी"
day , n , "दिन"
day-laborer , n , "ज्यामी, खेताला"
dear , n , "प्रिय​, प्यारो"
debt , n , "कर्जा, रिण"
debtor , n , "रिणी, आसामी"
decentralization , n , "बिकेन्द्रिकर​ण"
decide , v , "तोक्नु, निस्चय गर्नु, निर्णय गर्नु"
decision , n , "निस्चय, निर्णय"
declare , v , "घोषणा गर्नु"
decorate , v , "सजाउनु, भूषित गर्नु, अलंकृत गर्नु"
decrease , v , "घट्नु, घटाउनु"
deer , n , "मृग​"
demand , v , "माग्नु, मगाउनु"
demand , n , "माग"
democracy , n , "प्र्जातन्त्र, लोकतन्त्र"
department , n , "बिभाग​"
departure , n , "प्र्स्थान​, बिदा"
depute , v , "खटाउनु"
description , n , "बयान, बिबरण"
desire , n , "इच्छा, रहर, मनसाय"
destruction , n , "नाश, नष्ट​"
details , n , "बिबरण​"
development , n , "बिकास​"
diamond , n , "हीरा"
diarrhea , n , "दिसा"
die , v , "मर्नु"
difference , n , "अन्तर​, फरक​, भिन्नता"
dig , v , "खन्नु"
direct , v , "संचालन गर्नु"
director , n , "निर्देशक​, संचालक"
discipline , n , "अनुशासन​, नियम पालम​, संयम​"
disease , n , "रोग"
dismiss , v , "खारेज गर्नु, पदच्युत गर्नु"
dispatch , n , "चलानी"
display , v , "प्र्दर्शिन गर्नु"
dispute , n , "अबबाद, मतभदे"
dissent , n , "बिबाद​, मतभेद​"
distribute , v , "बाडनु, बितरण गर्नु"
district , n , "जिल्ला"
divide , v , "भाग गर्नु"
division , n , "भाग, बिभजन​"
doctrine , n , "सिधान्त​"
domesticate , v , "घरमा पाल्नु"
donation , n , "चन्दा"
doubt , n , "शंका"
draft , n , "मसौदा"
drink , v , "पिउनु"
drive , v , "चलाउनु, हाक्नु"
dropped , v , "खस्नु"
drought , n , "अनाबृष्टि, खडेरी"
duty , n , "कर्तब्य​ / **tax** (n) महशुल​, कर"
ear , n , "कान"
earn , v , "कमाउनु"
east , n , "पुर्व​"
eat , v , "खानु"
economics , n , "अर्थ शास्त्र​"
education , n , "शिक्षा"
effect , n , "प्र्भाब​, असर​"
effort , n , "कोशिश​, प्र्यत्न​"
egg , n , "फुल​"
elect , v , "चुन्नु, छान्नु"
election , n , "निर्वाचन​, चुनाव​"
elephant , n , "हात्ती"
emerge , v , "निस्किनु, प्र्कट हुनु"
emergency , n , "संङ्कटकालिन​, आपतकालिन​"
employee , n , "कर्मचारी, नियोजित​"
employment , n , "जागिर​, नियोजन​"
energy , n , "तागत​, शक्ति"
engineer , n , "इञिनियर​"
enlarge , v , "बढाउनु"
enough , n , "पुग्यो, पर्याप्त​, प्र्शस्त​, काफी"
entertainment , n , "आमोद प्र्मोद, मनोरञन​"
entitlement , n , "हक"
entry , n , "दर्ता"
equipment , n , "मालसमान, औजार"
establish , v , "कायम गर्नु, स्थापित गर्नु"
estimate , n , "अनमानु, इस्टमेट​, अन्दाज​"
evaluate , n , "मुल्याङ्कन​"
evaluation , n , "मुल्याङ्कन​"
evening , n , "साँझ"
exam , n , "जाँच, परिक्षा"
examine , v , "जाँच्नु, परिक्षण गर्नु"
example , n , "नमुना, उदाहर​ण"
exceed , v , "नाग्नु, फडकनु"
excess , n , "बढी"
excuse , v , "माफ गर्नु, क्षमा गर्नु"
exhibit , v , "प्र्दर्शन गर्नु"
exhibition , n , "प्र्दर्शनी"
expense , n , "खर्च​"
experience , n , "अनुभव​, जानकारी, अनुभूती"
expert , n , "विशेषज्ञ"
explain , v , "बुझाउनु, बयान गर्नु, ब्याख्या गर्नु"
explanation , n , "बयान, ब्याख्या"
export , v , "निकासी गर्नु, निर्यात गर्नु"
eye , n , "आँखा, नेत्र​, लोचन​"
fact , n , "वास्तब​, त्थय​"
factory , n , "कारखाना"
fair , n , "प्र्दर्शनी, भेला, सन्तोषदायक​ / (adj) स्वच्छ​, इमान्दार​"
faith , n , "विश्बाश​, निष्ठा"
fall , v , "पर्नु, झर्नु, खस्नु"
famine , n , "अनिकाल​, भोकमारी"
farmer , n , "खेतिवाल​, किसान​"
father , n , "बा, बुबा, बुवा, पिता"
fatigue , n , "थकाई, थकावट​"
fee , n , "महशुल​, दस्तुर​"
feel , v , "लग्नु, छुनु, स्पर्श गर्नु, जाच्नु, अनुभब गर्नु"
feel like , v , "मन लाग्नु"
feeling , n , "भावना, विचार​"
fence , n , "बार"
fertilizer , n , "मल"
field , n , "खेत​"
field-trip , n , "भ्रमण​"
field trip , n , "भ्रमण​"
fill , v , "भर्नु"
financier , n , "पुँजीपती, बित्त​-ब्यवस्थापक​"
find , v , "पाउनु"
firewood , n , "दाउरा"
fish , n , "माछा"
fish-pond , n , "माछा पोखरी"
fish pond , n , "माछा पोखरी"
floor , n , "तला"
flour , n , "पिठो"
flower , n , "फूल​"
follow , v , "अपनाउनु, मान्नु"
food , n , "खाना, खाने कुरा"
forbid , v , "मानाई गर्नु, निषेध गर्नु"
foreign country , n , "परदशे, बिदेश​"
foreigner , n , "बिदेशी, परदेशी"
foreman , n , "नाईके"
forest , n , "वन, जङ्गल​"
forget , v , "बिर्सनु"
fork , n , "काँटा"
form , n , "रूप​, फारम, आकार, आकृति"
found , v , "रहनु, पाउनु"
friday , n , "शुक्रबार​"
friend , n , "साथी, मित्र, संगि"
friendship , n , "मित्रता"
frog , n , "भ्यागुतो"
frost , n , "तुसारो"
fruit , n , "फलफुल​"
frustration , n , "नैराश्य​"
function , v , "चालु हुनु, कार्य सम्पादन गर्नु, चल्नु"
future , n , "भविश्य​"
game , n , "खेल​"
gap , n , "अन्तर​, खालि"
gate , n , "ढोका"
gather , v , "जम्मा गर्नु, बटुल्नु"
gathering , n , "जमघटभेला"
gender , n , "लिङ्ग​"
gentleman , n , "भलादमी मानिस​"
geography , n , "भुगोल​"
germinate , v , "पैदा हुनु, टुसाउनु, अंकुरण हुनु"
gesture , n , "संकेत​"
get , v , "पाउनु"
gift , n , "दान​, उपहार​, भेटी, कोशेली"
give , v , "दिनु"
give up , v , "छोड्नु, त्याग्नु"
glass , n , "शिशा"
go , v , "जानु"
goal , n , "उदेश्य​, लक्ष्य​"
god , n , "भगवान, इश्वर​"
god family , n , "कुलदेवता"
goddess , n , "देवी"
gold , n , "सुन​"
goods , n , "माल, मालसामान, चिजबिज​"
government , n , "सरकार"
grab , v , "समात्नु, पक्र्नु"
grain , n , "अनाज, अन्न​"
grandfather , n , "हजुरबा, बाजे"
grandmother , n , "हजुरआमा, बज्यै"
grant , n , "अनुदान​, वृत्ति"
grass , n , "घाँस"
graze , v , "चराउनु"
growth , n , "बृद्धि"
guard , n , "पाले"
guess , n , "अनुमान​, अन्दाज​"
guest , n , "पाहुना, पाउना"
guidance , n , "मार्ग निर्देश्न​"
habit , n , "बानी"
hail , n , "असिना"
hair , n , "कपाल"
half , n , "साढे"
hand , n , "हात"
harm , n , "नोक्सान, खति"
head , n , "टाउको"
headman , n , "मुखीया"
headquarters , n , "सदर-मुकाम​"
health , n , "स्वास्थ्य​"
hear , v , "सुन्नु"
heat , n , "ताप"
heaven , n , "स्वर्ग​"
height , n , "उचाई"
help , v , "मदत गर्नु, सगाउनु"
highway , n , "सडक (ठुलो)"
himalaya , n , "हिमाल​"
hint , n , "सङ्केत​"
hire , n , "भाडा"
historical , n , "ऐतिहासिक​"
history , n , "इतिहास​"
hold , v , "समात्नु"
holiday , n , "बिदा, छुट्टी"
home , n , "घर"
homeland , n , "स्वदेश​"
honor , n , "इज्जत​, सम्मान​"
hope , n , "आशा"
hospital , n , "अस्पताल​, चिकित्सालय​ / **meternity** (n) प्र्सुती गृह​"
hour , n , "घण्टा"
house , n , "घर"
housework , n , "घरको काम, गृहकार्य​"
human being , n , "मानव-जाती"
hundred , n , "सय"
hunger , n , "भोक"
hurry , n , "हत्तपत्त​, हतार​"
idea , n , "राय, बिचार​"
ignorance , n , "अज्ञान​, अनजान​"
importance , n , "महत्व​"
improve , v , "सुधार्नु, उन्नती गर्नु, सपार्नु"
improvement , n , "सुधार​, उन्न्ती, सपारिएको"
include , v , "समावेश गर्नु"
income , n , "आम्दानी, आय​"
income tax , n , "आय कर"
increase , v , "बढनु"
indicate , v , "निर्देश गर्नु, देखाउनु, सङ्केत गर्नु"
individual , n , "व्यक्ति"
industry , n , "उद्धोग​, परिश्रम​"
influence , n , "प्र्भाब​"
information , n , "सुचना"
injection , n , "सुइ"
ink , n , "मसी"
inspect , v , "परिदर्शन गर्नु, निरिक्षण गर्नु, जाँच गर्नु"
inspection , n , "परिदर्शन, निरिक्षण, जाँच, सर्बेक्षण"
inspector , n , "निरिक्षक​, प्र्शिक्षक​"
institution , n , "संस्था"
insult , n , "बेइज्जती, अपमान​"
intention , n , "इरादा, मतलब​, मनशाय​, अभिप्राय​"
interest , n , "ब्याज​"
interim , n , "अन्तरिम​"
interview , n , "अन्तरवार्ता"
introduction , n , "परिचय​, भूमिका, प्र्स्तावन​"
invite , v , "डाकनु, बोलाउनु, निम्ता गर्नु"
iron , n , "फलाम​"
irrigate , v , "पानी लगाउनु, सिँचाई गर्नु"
irrigation , n , "सिँचाई"
irrigation ditch , n , "कूलो"
item , n , "दफा, रकम, एक -एक कलम"
jacket , n , "ज्याकेट​"
jail , n , "झ्यालखाना"
job , n , "काम, जागिर​, ब्यबसाय​"
join , v , "जोड्नु"
journey , n , "यात्रा,भ्रमण​, सफर​"
judge , n , "न्यायाधिस"
judgment , n , "न्याय​, इन्साफ​, अदालतको फैसला"
jump , v , "उफ्र्नु"
justice , n , "न्याय​, इन्साफ​"
kerosene , n , "मट्टितेल​"
kind , n , "किसिम​, थोक​, प्रकार​"
kingdom , n , "अधिराज्य​"
kitchen , n , "भान्सा, भान्चा"
knowledge , n , "ज्ञान​"
labor , n , "श्रम​"
lake , n , "ताल"
land , n , "जमीन, जग्गा"
land reform , n , "भूमी सुधार"
landless , n , "सुकुम्बासी"
landowner , n , "जमिन्दार​"
language , n , "भाषा"
laugh , v , "हास्नु"
law , n , "ऐन, कानुन​"
lawsuit , n , "मुद्दा"
layer , n , "तह"
lead , n , "सिसा, परिचालन​"
leader , n , "नाईके, नेता, मार्ग​-दर्शक​"
leadership , n , "नेतृत्व​"
leaf , n , "पात"
learn , v , "सिक्नु"
leather , n , "छाला"
leave , v , "छोड्नु"
leave , n , "छुट्टि, बिदा"
lecture , n , "प्र्वचन​, ब्याख्यान​"
left over , v , "उब्रि्नु, बाकी"
legal code , n , "मुलुकी ऐन​"
leisure , n , "फुर्सद, फुर्सत​"
lesson , n , "पाठ, शिक्ष, उपदेश​"
letter , n , "चिट्ठी, पत्र् / **alphabet** (n) अक्षर"
level , n , "स्तर​, श्रेणी"
library , n , "पुस्तकालय​"
license , n , "अनुमति, अनुमतिपत्र्, लाईसेन्स​"
life , n , "जीवन"
lift , v , "उचाल्नु, उठाउनु"
light , n , "उज्यालो / **color** (adj) फिक्का"
like , v , "मन पर्नु / **similar to** (prep) जस्तो, जस्तै"
lime , n , "कागती"
link , n , "सम्बन्ध्, जोर्नी"
liquor , n , "रकसी"
list , n , "सूची, सूचिपत्र्, तपसील​"
listen , v , "सुन्नु"
literature , n , "साहित्य​"
living standard , n , "हैसियत​, स्तर​"
load , n , "भारी"
look , v , "हेर्नु"
loom , n , "तान्"
loss , n , "खती, नोक्सान​"
love , v , "माया गर्नु"
love-talk , n , "प्रेम​-वार्ता"
machine , n , "कल, यन्त्र्"
magazine , n , "पत्रिका"
magician , n , "जादुगर​, चटकी"
maintenance , n , "पालन पोषण​, जिविका, प्र्तिपालन​, जीविका"
majority , n , "अधिकांश​, बहुमत​, बहुसंख्या"
make , v , "बनाउनु"
malaria , n , "औलजरो, औलो"
male , n , "भाले / **human** (n) लोग्ने मान्छे"
management , n , "बन्दोबस्त​, व्यवस्था"
manner , n , "ढंग​, शिष्टाचार​, चलन, चालचलन"
manure , n , "मल"
map , n , "नक्शा"
mars , n , "मङ्गल​"
math , n , "हिसाब​"
matter , n , "पदार्थ​"
meaning , n , "मतलब, माने"
means , n , "उपाय"
measurement , n , "नाप"
meat , n , "मासु"
mechanic , n , "मिस्त्री, कालीगढ"
medicine , n , "औषधि,ओखती"
meet , v , "भेट्नु"
meeting , n , "बैठक​, जमघाट​, गोष्ठी, भेट​"
member , n , "सदस्य​"
membership , n , "सदस्यता"
memorize , v , "याद गर्नु, सम्झनु"
mentality , n , "स्वभाब​, मनोबृत्ति, मानसिक शक्त्ति"
method , n , "उपाय​, ढंङ्ग​, तरिका, प्र्णाली"
middle , n , "माझ​, बीच​"
military , n , "सैनिक​, सेना"
milk , n , "दूध​"
millionaire , n , "लखपती"
mind , n , "मन​, दिल​, चित्त​"
minister , n , "मन्त्री"
ministry , n , "मन्त्रालय​"
miser , n , "क॑ जुस, कञ्जुस​, चुय्याँ, कृपण​, लोभी"
mix , v , "मिसाउनु"
model , n , "आदर्श​, नमुना"
moment , n , "छिन​, क्षण​"
monday , n , "सोमबार"
monkey , n , "बाँदर"
monsoon , n , "बर्सात​, बर्षा"
month , n , "महिना"
morning , n , "बिहान"
mother , n , "आमा, मुमा"
mountain , n , "पाहाड"
mouth , n , "मुख​"
move , v , "चल्नु"
mr , n , "श्रिमान​, माहासाय​"
mrs , n , "श्रिमति"
multiplication , n , "गुणन​"
mustard , n , "तोरी"
nail , n , "कीला"
name , n , "नाम"
nature , n , "प्रकृती / **character** (n) स्वभाब​"
need , v , "चाहिनु, आवश्यक हुनु"
to be needed , v , "चाहिनु, आवश्यक हुनु"
needed , v , "चाहिनु, आवश्यक हुनु"
news , n , "खबर, समाचार"
newspaper , n , "अखबार, पत्रपत्रिका"
night , n , "राती"
noise , n , "हल्ला"
north , n , "उत्तर​"
nose , n , "नाक"
notice , n , "सुचना"
notice board , n , "सुचना पाटी"
novel , n , "उपन्यास"
obey , v , "मान्नु"
occupation , n , "कामकाज​, वृत्ति, पेशा, इलम​"
offering , n , "प्र्साद​, बलि, भेटी, नैबेध​"
office , n , "कार्यलय​"
officer , n , "अधिकारी, कर्मचारी"
open , v , "खोलनु"
opinion , n , "बुचार​, राय​"
opponent , n , "बुरोधी"
opportunity , n , "मौका"
opposition , n , "प्र्तियोग​, बिरोध​, बिपक्षता, बैरभाब​"
orange , n , "सुन्तला"
order , n , "हुकुम​, आज्ञा, आदेश​"
ordinance , n , "अध्यादेश​, रिती, नियम​, बिशेष आज्ञा"
organization , n , "संस्था, संगठन​"
organizer , n , "आयोजक, ब्यबस्थापक​"
outside , n , "बाहिर​"
overcome , v , "विजयी हुनु, दनन गर्नु"
pack , n , "पोको, भारी, कुम्लो, बट्टा"
paper , n , "कागत, कागज"
pardon , v , "माफ गर्नु"
parents , n , "बा-आमा"
part , n , "भाग, खण्ड​, हिस्सा"
partnership , n , "साझेदार​, हिस्सेदार​, महभागिता"
party , n , "भोज / **political** (n) दल, पक्ष"
pay , v , "तिर्नु"
pay , n , "तलब, ज्याला, पारिश्रामिक"
peace , n , "शान्ति"
peace corps , n , "शान्ति सेना"
peasant , n , "किसान​, खेतिवाल​"
pen , n , "कलम"
people , n , "जनताह्रु, लोक​, जन​, प्र्जा"
pepper , n , "खुर्सानी"
percent , n , "प्र्तिशत"
permission , n , "अनुमती"
person , n , "मान्छे, मानिस​"
persuade , v , "मनाउनु, विश्वास गराउनु, भ्रम हटाइनु"
petition , n , "दरखास्त​, अर्जी, बिन्तिपत्र​"
physics , n , "भौतिक शास्त्र्"
picture , n , "नक्शा, तस्वीर​"
piece , n , "भाग​, हिस्सा, टुक्रा, प्रवन्ध रचना"
pineapple , n , "भुईकटहर​"
place , n , "स्थान​, ठाउँ"
plan , n , "उपाय​, अभिप्राय​, योजना"
planet , n , "ग्र्ह​, नक्षत्र"
plant , n , "बिरुवा, बोट​"
play , v , "खेल्नु"
play , v , "बजाउनु"
playing field , n , "मैदान​"
please , n , "कृपया"
plenty , n , "प्र्शस्त​"
plough , v , "जोत्नु"
pocket , n , "बगली, खल्ती"
policy , n , "नीति"
political science , n , "राजनीति शास्त्र्"
politics , n , "राजनीति"
population , n , "जनसंख्या"
position , n , "स्थान​, पद​, अबस्था"
post office , n , "हुलाक​"
postman , n , "हुलाकी"
potato , n , "आलु"
power , n , "सामर्थ्य​, शक्ति, क्षम्ता, बल​, तेज​"
practice , n , "अभ्यास​, प्र्था, ब्यवहार​"
practise , v , "मान्नु, अभ्यास गर्नु"
present , v , "प्र्स्तुत गर्नु, पेश गर्नु, हाजिर हुनु"
president , n , "राष्ट्र्पति"
prestige , n , "इज्जत​, शान​, प्र्तिष्ठा"
price , n , "मोल, मलयू, भाउ"
pride , n , "धमण्ड​, गर्ब​, अहंकार​"
prime minister , n , "प्र्धान​-मन्त्री"
principle , n , "नियम​, सूत्र्, सिधान्त​"
priority , n , "प्राथमिकता"
problem , n , "समस्या"
procedure , n , "संचालन गर्ने तरिका, व्याबहार​। कार्य​-बिधि"
profession , n , "बृत्ती, पेशा"
profit , n , "मुनाफा, नाफा, लाभ​"
program , n , "कार्यक्रम​"
progress , n , "प्र्गती, उन्नती"
prohibit , v , "मनाई, निषेध​, प्र्तिबन्ध​"
prohibition , n , "मनाही, निषेध्, प्रतिबन्ध​"
project , n , "योजना"
promise , v , "प्र्तिज्ञा गर्नु, कबूल गर्नु"
promotion , n , "बढुवा, उन्नती, श्रेष्ठ पद पाउनु"
proof , n , "प्र्माण​"
property , n , "मालसामान​, सम्प्ती"
proposal , n , "प्र्स्ताब​"
protect , v , "सुरक्षा गर्नु, संरक्षित राख्नु, रक्षा गर्नु"
protection , n , "संरक्षिता, रक्षा"
protest , n , "प्र्तिवद​, बिरोध​"
public , n , "सामान्यजन​, प्र्ज्ञा, जनता"
public health , n , "जनव्वास्थ्य​"
public service , n , "लोकसेवा"
publicity , n , "प्र्चार​, प्र्सार​"
pull , v , "तान्नु, उखेल्नु"
punishment , n , "सजाय, दण्ड​"
pupil , n , "छात्र्"
purchase , n , "खरीद"
purpose , n , "मक्सद​, मनसाय​, आसय​, अभिप्राय​"
put , v , "राख्नु / **put (on)** (v) लगाउनु"
qualification , n , "योेयता"
quality , n , "गुण​"
quarter , n , "सवा"
quarter to , n , "पौने"
question , n , "प्र्श्न​"
questionnaire , n , "प्र्श्नवली"
quiet , v , "चुप लाग्नु"
quit , v , "छोड्नु"
quota , n , "कोटा, दरबन्दी"
radio , n , "रेडियो"
rain , v , "पानी पर्नु"
raincoat , n , "बर्ष​दी"
raksi , n , "रक्सी"
rank , n , "पद​, मान​"
rate , n , "दर​, गति, भाउ"
ratification , n , "समर्थन​, अनुमोदन​"
reach , v , "पुग्नु, बिस्तृत हुनु"
reaction , n , "प्र्तिकृया"
read , v , "पढ्नु"
real , n , "खास​, वस्तबिक​"
reality , n , "सत्यता, वास्तबिकता"
realization , n , "महसूस​"
realize , v , "अनुबव गर्नु, महसूस गर्नु"
receipt , n , "रसिद​"
receive , v , "पाउनु"
recognize , v , "चिन्नु"
recommendation , n , "सिफारिस​"
